"ts|uid|id.orig_h|id.orig_p|id.resp_h|id.resp_p|proto|service|duration|orig_bytes|resp_bytes|conn_state|local_orig|local_resp|missed_bytes|history|orig_pkts|orig_ip_bytes|resp_pkts|resp_ip_bytes|tunnel_parents|label|detailed-label"
"1525879831.015811|CUmrqr4svHuSXJy5z7|192.168.100.103|51524|65.127.233.163|23|tcp|-|2.999051|0|0|S0|-|-|0|S|3|180|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879831.025055|CH98aB3s1kJeq6SFOc|192.168.100.103|56305|63.150.16.171|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879831.045045|C3GBTkINvXNjVGtN5|192.168.100.103|41101|111.40.23.49|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879832.016240|CDe43c1PtgynajGI6|192.168.100.103|60905|131.174.215.147|23|tcp|-|2.998796|0|0|S0|-|-|0|S|3|180|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879832.024985|CJaDcG3MZzvf1YVYI4|192.168.100.103|44301|91.42.47.63|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879832.044975|CMBrup3BLXivSp4Avc|192.168.100.103|50244|120.210.108.200|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879833.016171|CfHl9r3XMYtDQRrHnh|192.168.100.103|34243|147.7.65.203|49560|tcp|-|2.998804|0|0|S0|-|-|0|S|3|180|0|0|-|Benign|-"
"1525879833.044906|C7USrA15nFVkniMqC5|192.168.100.103|34840|145.164.35.6|21288|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Benign|-"
"1525879834.024847|CDtZ4so7bHKpIeCmi|192.168.100.103|58525|177.75.151.125|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879834.045086|Cj9lm7amKnWiNDh9c|192.168.100.103|43849|94.145.70.119|8080|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879836.044966|CgeVK21nm6PyVgJ4ah|192.168.100.103|40973|62.239.193.205|8080|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879837.005652|CFXxTW19F3sluNEkJk|192.168.100.103|52259|193.189.106.178|23|tcp|-|2.999300|0|0|S0|-|-|0|S|3|180|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879838.006081|CRRl9U39PzvL3OiS61|192.168.100.103|42207|10.169.219.98|8080|tcp|-|2.993548|0|0|S0|-|-|0|S|3|180|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879838.024838|C9hk4p2z9Y6AvlzLff|192.168.100.103|51524|65.127.233.163|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879839.006262|Cx7t1f1wqRES8kiTq6|192.168.100.103|40459|212.110.180.188|23|tcp|-|2.998807|0|0|S0|-|-|0|S|3|180|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879839.025003|C3AFse2JfKAgalsik|192.168.100.103|60905|131.174.215.147|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879839.044992|CdQJe43wv9ipLJklh|192.168.100.103|56305|63.150.16.171|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879840.024934|C3ajsm4byxMkPys9Wa|192.168.100.103|34243|147.7.65.203|49560|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Benign|-"
"1525879840.044922|Cta8kR3Zfh09uPo77k|192.168.100.103|44301|91.42.47.63|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879841.005875|CRwLRg1TuvUDjEHuI5|192.168.100.103|39813|167.185.30.24|23|tcp|-|2.999050|0|0|S0|-|-|0|S|3|180|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879842.045068|C321Ny2f5jKD9L6Mle|192.168.100.103|58525|177.75.151.125|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879844.014931|CrJlH628XAusbodPRj|192.168.100.103|52259|193.189.106.178|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879845.005600|COg0k54oem3iaotstl|192.168.100.103|52482|176.65.163.218|23|tcp|-|2.999302|0|0|S0|-|-|0|S|3|180|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879846.006029|Ca2iCc4TnXj6Sh0nL4|192.168.100.103|49307|178.63.128.143|23|tcp|-|2.999057|0|0|S0|-|-|0|S|3|180|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879846.015025|CeR4iv43Kd87WqYwyj|192.168.100.103|40459|212.110.180.188|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879846.045008|CDxdKP16IucJ2SnIo1|192.168.100.103|51524|65.127.233.163|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879847.005961|CRMhtY1V0mbZAnC0Je|192.168.100.103|52702|193.27.150.202|2323|tcp|-|2.999068|0|0|S0|-|-|0|S|3|180|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879847.044956|Cwxzja3C5Rok5o638a|192.168.100.103|60905|131.174.215.147|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879848.006142|Cvph3b2XR2Agi7pWge|192.168.100.103|40485|185.155.75.66|8080|tcp|-|2.998813|0|0|S0|-|-|0|S|3|180|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879848.014890|CHuhyt1cN2dqNwunS6|192.168.100.103|39813|167.185.30.24|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879848.044871|Cahg1h1asfICn0Hp5l|192.168.100.103|34243|147.7.65.203|49560|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Benign|-"
"1525879849.006323|Cfie2L1e9AWWCHTit1|192.168.100.103|48469|27.135.195.214|2323|tcp|-|0.998710|0|0|S0|-|-|0|S|2|120|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879850.006254|CRWpXU1063GcM3Txv|192.168.100.103|55730|54.153.208.92|8080|tcp|-|2.998805|0|0|S0|-|-|0|S|3|180|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879851.006185|CKzxwp32o4lTb5p6a|192.168.100.103|50261|52.228.207.106|8080|tcp|-|2.998806|0|0|S0|-|-|0|S|3|180|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879852.006366|CoYpYt3TMDzK7nGmya|192.168.100.103|40229|157.139.228.218|23|tcp|-|2.998556|0|0|S0|-|-|0|S|3|180|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879852.014862|CcoC6m4RX5ddcKImDa|192.168.100.103|52482|176.65.163.218|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879852.045094|C2upK04DMFI2QdTk67|192.168.100.103|52259|193.189.106.178|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879853.006297|C5mMWE4sum4tJGl6R1|192.168.100.103|33032|131.79.222.29|2323|tcp|-|2.998807|0|0|S0|-|-|0|S|3|180|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879853.015045|CSv83fmDmycFvU128|192.168.100.103|49307|178.63.128.143|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879854.014976|CnrN2S3CMYLum7c498|192.168.100.103|52702|193.27.150.202|2323|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879854.044959|Co483fPxzsOt2SHx|192.168.100.103|40459|212.110.180.188|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879855.014906|CCDo3g4tOZoHc7CVdd|192.168.100.103|40485|185.155.75.66|8080|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879856.006092|CehYaNcn6msEjrqxb|192.168.100.103|37533|163.215.228.4|9527|tcp|-|2.998805|0|0|S0|-|-|0|S|3|180|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879856.045073|Cq8jii32liVhYgeBEl|192.168.100.103|39813|167.185.30.24|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879857.006023|CLHcgy47ll328Bk681|192.168.100.103|58116|133.214.177.90|9527|tcp|-|2.999060|0|0|S0|-|-|0|S|3|180|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879857.015020|CxanLX1JmxcfSaUJW5|192.168.100.103|55730|54.153.208.92|8080|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879858.014951|CChQtc1mrpU9GWEGZ5|192.168.100.103|50261|52.228.207.106|8080|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879859.006387|ChQ6aR2J1wAhkqaml8|192.168.100.103|33685|197.224.138.9|34797|tcp|-|2.998560|0|0|S0|-|-|0|S|3|180|0|0|-|Benign|-"
"1525879859.014882|CZ2EjJ1tk6JPmJv7xf|192.168.100.103|40229|157.139.228.218|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879860.015064|CnobTh1At4hePSmJng|192.168.100.103|33032|131.79.222.29|2323|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879860.045047|CA6xQV2MwZx9TvXsJe|192.168.100.103|52482|176.65.163.218|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879861.044980|C4CIee2T8gDOWhoyki|192.168.100.103|49307|178.63.128.143|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879862.044910|CjohNt3DaRZ4Q4SrBk|192.168.100.103|52702|193.27.150.202|2323|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879863.006113|CRph4J2V6x1Ai6Ye3i|192.168.100.103|35197|106.186.242.22|23|tcp|-|2.998807|0|0|S0|-|-|0|S|3|180|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879863.015108|Cz61Fv4mxkQvHndVob|192.168.100.103|37533|163.215.228.4|9527|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879863.045091|CWjeJD2g21hqagM4ja|192.168.100.103|40485|185.155.75.66|8080|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879864.006044|Ck0vs04IWCA5d1rOyl|192.168.100.103|42973|151.104.218.115|8080|tcp|-|2.999056|0|0|S0|-|-|0|S|3|180|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879864.015039|CKCmcWl2rDxxM2I9i|192.168.100.103|58116|133.214.177.90|9527|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879865.006226|CAbKj644yAUjqESh5k|192.168.100.103|60438|9.42.255.130|8080|tcp|-|2.998798|0|0|S0|-|-|0|S|3|180|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879865.044954|Co9xtc1ianE7b1FuA5|192.168.100.103|55730|54.153.208.92|8080|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879866.014904|C2CPp42ZWJfbULlXW4|192.168.100.103|33685|197.224.138.9|34797|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Benign|-"
"1525879866.045136|CgHgnD2KW5uqldunM|192.168.100.103|50261|52.228.207.106|8080|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879867.045070|CldwMY10cGyPHPhPyd|192.168.100.103|40229|157.139.228.218|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879868.045000|C2G73PFa49SsCvSK8|192.168.100.103|33032|131.79.222.29|2323|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879869.005954|CI3ijZnHZIlu0N5ad|192.168.100.103|48602|111.22.8.233|8080|tcp|-|2.999059|0|0|S0|-|-|0|S|3|180|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879870.014880|CWKlws1SVxWb6t7R4a|192.168.100.103|35197|106.186.242.22|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879871.006068|Co34Xc3WU03hQANB9c|192.168.100.103|36104|220.61.210.79|2323|tcp|-|2.999062|0|0|S0|-|-|0|S|3|180|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879871.015062|CNwXbi3IPjac8X2aD2|192.168.100.103|42973|151.104.218.115|8080|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879871.045044|Cgy5Lq80XHssZ7aPc|192.168.100.103|37533|163.215.228.4|9527|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879872.014994|CHAP558kop4eM2t4c|192.168.100.103|60438|9.42.255.130|8080|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879872.044976|CYHuPggs2g1emGIuc|192.168.100.103|58116|133.214.177.90|9527|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879873.005931|CUKCo44XCM8cKtif09|192.168.100.103|37334|161.90.43.63|23|tcp|-|2.999066|0|0|S0|-|-|0|S|3|180|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879874.045090|CGoQxu1VQ8LECOtDV9|192.168.100.103|33685|197.224.138.9|34797|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Benign|-"
"1525879876.014971|Cf8sb49krzYx4BMHe|192.168.100.103|48602|111.22.8.233|8080|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879877.005909|CTqr4t2zG2ADoN7Fhj|192.168.100.103|35728|142.28.176.45|23|tcp|-|2.999056|0|0|S0|-|-|0|S|3|180|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879878.006089|C00owvP7n6XplHpj4|192.168.100.103|42885|126.19.105.2|23|tcp|-|2.999050|0|0|S0|-|-|0|S|3|180|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879878.015085|C2aaEJb4TiMYfHgBl|192.168.100.103|36104|220.61.210.79|2323|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879878.045068|CQAgdv48iMUjn3Go6|192.168.100.103|35197|106.186.242.22|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879879.006522|CnMGrKyC1aWgSq1O3|192.168.100.103|35310|35.123.168.174|8080|tcp|-|2.998555|0|0|S0|-|-|0|S|3|180|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879879.045018|CNlSta2GGh1TUffj1e|192.168.100.103|42973|151.104.218.115|8080|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879880.014948|CsvHKa2G0obOVXltpl|192.168.100.103|37334|161.90.43.63|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879880.016197|CMswYvqlGEUs5FVO1|192.168.100.103|35876|25.140.221.21|9527|tcp|-|2.998815|0|0|S0|-|-|0|S|3|180|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879880.044931|CFRB0V1lrigpcgo4F9|192.168.100.103|60438|9.42.255.130|8080|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879882.015811|CeciVc15khDt36naOe|192.168.100.103|36994|218.249.159.92|9527|tcp|-|0.456510|0|0|REJ|-|-|0|Sr|1|60|1|40|-|Malicious|PartOfAHorizontalPortScan"
"1525879883.016243|COzvz94b1O9bnPcwMa|192.168.100.103|60798|125.219.36.111|23|tcp|-|2.998815|0|0|S0|-|-|0|S|3|180|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879884.014936|CdYcHN1FLQroNboBV6|192.168.100.103|35728|142.28.176.45|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879884.016425|Ce3y9L3iUqJ5cwPcuc|192.168.100.103|43780|205.67.37.168|2323|tcp|-|2.998556|0|0|S0|-|-|0|S|3|180|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879884.045170|CEJAq12f1z1p0Bnop|192.168.100.103|48602|111.22.8.233|8080|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879885.015118|CBGrOy1hIEvmvYW5kf|192.168.100.103|42885|126.19.105.2|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879885.016357|Cb1U1J3iVWjYjhA6b|192.168.100.103|49397|170.138.139.23|23|tcp|-|2.998805|0|0|S0|-|-|0|S|3|180|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879831.015073|CwxSC63ae0nsF5U8Rc|192.168.100.103|43763|154.8.94.65|14336|udp|-|-|-|-|S0|-|-|0|D|1|40|0|0|-|Benign|-"
"1525879886.015291|CJvc154FiirmzOIurc|192.168.100.103|35310|35.123.168.174|8080|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879886.016539|CO9ZgwLOFh7S2Wdi9|192.168.100.103|44000|102.168.123.18|23|tcp|-|2.998557|0|0|S0|-|-|0|S|3|180|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879886.045024|CWLO9JaiySv6B14lg|192.168.100.103|36104|220.61.210.79|2323|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879832.015493|CC6vK11dpBdpp6Tp82|192.168.100.103|43763|196.170.198.141|11764|udp|-|-|-|-|S0|-|-|0|D|1|40|0|0|-|Benign|-"
"1525879887.024967|CeKunIB0B5gfcnpve|192.168.100.103|35876|25.140.221.21|9527|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879833.015424|Cwm6z43XICYNco6X3c|192.168.100.103|43763|118.112.204.139|2441|udp|-|-|-|-|S0|-|-|0|D|1|40|0|0|-|Benign|-"
"1525879888.016403|Ck5yBs2c6nAzp89SH2|192.168.100.103|36589|104.15.217.111|8080|tcp|-|2.998557|0|0|S0|-|-|0|S|3|180|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879888.045138|CkipDz1h6OSNyjapc1|192.168.100.103|37334|161.90.43.63|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879834.015605|CSORLf11E0Qucikaj5|192.168.100.103|43763|51.148.125.188|60862|udp|-|-|-|-|S0|-|-|0|D|1|40|0|0|-|Benign|-"
"1525879889.016585|CwspRV2DSEiUjCbk7j|192.168.100.103|49839|176.131.225.247|23|tcp|-|2.998559|0|0|S0|-|-|0|S|3|180|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879835.005303|COoNg7tQKZ6vEkt2g|192.168.100.103|43763|4.73.32.105|7140|udp|-|-|-|-|S0|-|-|0|D|1|40|0|0|-|Benign|-"
"1525879890.025014|C7U6no1Tf8sJiW7xA|192.168.100.103|60798|125.219.36.111|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879836.004994|CZleUm1UKzGY8MWxP1|192.168.100.103|43763|35.38.213.214|56982|udp|-|-|-|-|S0|-|-|0|D|1|40|0|0|-|Benign|-"
"1525879891.016450|CSXtqQ2F6dPbc1Hknl|192.168.100.103|38855|91.111.5.30|23|tcp|-|2.998565|0|0|S0|-|-|0|S|3|180|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879891.024945|CHXmiL1Gqfoj1H4PR3|192.168.100.103|43780|205.67.37.168|2323|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879837.005157|CCIJ1z2tBPkWMMZlBh|192.168.100.103|43763|195.88.192.199|33773|udp|-|-|-|-|S0|-|-|0|D|1|40|0|0|-|Benign|-"
"1525879892.025128|CscHG6O9SFCpzERRb|192.168.100.103|49397|170.138.139.23|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879892.045117|CPmLwD2lfo7UytUYD7|192.168.100.103|35728|142.28.176.45|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879838.005593|CFNJJG1hvJqgcwRTl4|192.168.100.103|43763|198.154.112.51|65495|udp|-|-|-|-|S0|-|-|0|D|1|40|0|0|-|Benign|-"
"1525879893.025070|CTzbji1ZHIQEa8mXji|192.168.100.103|44000|102.168.123.18|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879893.045062|Cvs5a4jDwOlwPZarl|192.168.100.103|42885|126.19.105.2|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879839.005265|C61tf1447QWryRBcD6|192.168.100.103|43763|65.88.143.49|1350|udp|-|-|-|-|S0|-|-|0|D|1|40|0|0|-|Benign|-"
